    nm         	nN
2.669210e+002	-1.083362e-001
2.666768e+002	-1.083362e-001
2.666952e+002	-8.893274e-002
2.664292e+002	-9.054970e-002
2.662726e+002	-8.408187e-002
2.658972e+002	-9.378362e-002
2.655217e+002	-1.034854e-001
2.654745e+002	-8.893274e-002
2.651429e+002	-9.540058e-002
2.648549e+002	-9.863450e-002
2.648077e+002	-8.408187e-002
2.644323e+002	-9.378362e-002
2.641663e+002	-9.540058e-002
2.640315e+002	-8.731579e-002
2.636780e+002	-9.540058e-002
2.635433e+002	-8.731579e-002
2.632335e+002	-9.216666e-002
2.629456e+002	-9.540058e-002
2.627452e+002	-9.216666e-002
2.626323e+002	-8.246491e-002
2.622569e+002	-9.216666e-002
